Load Time (ms),Sample Time (ms),Sample Runs,Sample Throughput (tokens/second),Prefill Time (ms),Prefill Tokens,Prefill Throughput (tokens/second),Decode Time (ms),Decode Runs,Decode Throughput (tokens/second),Total Time (ms),Total Tokens,model
213.85,47.03,500,10630.83,212.74,9.0,42.31,45581.14,499.0,9.990000000000002,46839.75,508.0,Yi
213.85,46.64,500,10721.33,162.36,16.0,57.39125,45820.14,499.0,9.990000000000002,47031.64,515.0,Yi
213.85,44.01,500,11361.83,2946.39,73.0,57.39125,50257.01,499.0,9.93,54175.16,734.0,Yi
213.85,45.26,500,11047.04,552.01,38.0,57.39125,46214.35,499.0,9.990000000000002,47789.83,537.0,Yi
213.85,45.51,500,10987.32,227.41,20.0,57.39125,45852.44,499.0,9.990000000000002,47095.38,519.0,Yi
213.85,49.39,500,10123.71,374.47,29.0,57.39125,46071.34,499.0,9.990000000000002,47550.27,528.0,Yi
213.85,49.69,500,10061.98,324.93,14.0,43.09,45676.61,499.0,9.990000000000002,47102.16,513.0,Yi
213.85,43.34,500,11537.75,359.01,14.0,39.0,45680.69,499.0,9.990000000000002,47024.69,513.0,Yi
213.85,45.38,500,11019.04,166.67,16.0,57.39125,45781.26,499.0,9.990000000000002,46951.67,515.0,Yi
213.85,46.74,500,10697.02,232.79,12.0,51.55,45732.05,499.0,9.990000000000002,47008.67,511.0,Yi
213.85,44.69,500,11189.44,266.97,21.0,57.39125,45871.61,499.0,9.990000000000002,47126.24,520.0,Yi
213.85,47.16,500,10602.65,209.05,6.0,28.7,45543.35,499.0,9.990000000000002,46804.93,505.0,Yi
213.85,51.86,500,9642.27,161.84,8.0,49.43,45617.46,499.0,9.990000000000002,46922.42,507.0,Yi
213.85,46.41,500,10772.38,307.8,11.0,35.74,45628.85,499.0,9.990000000000002,46941.72,510.0,Yi
213.85,45.9,500,10893.25,99.65,4.0,40.14,45612.91,499.0,9.990000000000002,46737.9,503.0,Yi
213.85,47.0,500,10638.07,271.02,10.0,36.9,45689.66,499.0,9.990000000000002,47005.46,509.0,Yi
213.85,47.11,500,10613.01,912.91,73.0,57.39125,47114.17,499.0,9.990000000000002,49032.42,581.0,Yi
213.85,47.89,500,10440.81,454.51,35.0,57.39125,46144.15,499.0,9.990000000000002,47679.32,534.0,Yi
213.85,47.65,500,10493.4,453.82,35.0,57.39125,46181.09,499.0,9.990000000000002,47697.86,534.0,Yi
213.85,47.55,500,10515.69,321.69,25.0,57.39125,45955.06,499.0,9.990000000000002,47371.96,524.0,Yi
213.85,48.6,500,10287.22,786.15,63.0,57.39125,46741.66,499.0,9.990000000000002,48607.19,562.0,Yi
213.85,44.46,500,11245.05,2093.15,73.0,57.39125,48910.62,499.0,9.990000000000002,51996.03,673.0,Yi
213.85,47.99,500,10418.62,780.38,72.0,57.39125,46871.96,499.0,9.990000000000002,48720.33,571.0,Yi
213.85,47.49,500,10528.98,314.72,22.0,57.39125,45946.76,499.0,9.990000000000002,47302.73,521.0,Yi
213.85,45.78,500,10921.08,223.75,20.0,57.39125,45793.97,499.0,9.990000000000002,47065.01,519.0,Yi
213.85,48.13,500,10389.18,159.87,16.0,57.39125,45726.49,499.0,9.990000000000002,46982.51,515.0,Yi
213.85,45.49,500,10991.67,1283.39,73.0,57.39125,47610.97,499.0,9.990000000000002,49910.91,606.0,Yi
213.85,46.97,500,10645.55,362.1,23.0,57.39125,45938.86,499.0,9.990000000000002,47344.6,522.0,Yi
213.85,48.99,500,10207.0,666.57,58.0,57.39125,46609.83,499.0,9.990000000000002,48353.03,557.0,Yi
213.85,46.82,500,10679.88,609.45,46.0,57.39125,46409.63,499.0,9.990000000000002,48055.6,545.0,Yi
213.85,45.92,500,10888.03,163.28,16.0,57.39125,45794.98,499.0,9.990000000000002,46988.85,515.0,Yi
213.85,49.27,500,10147.96,623.5,57.0,57.39125,46649.46,499.0,9.990000000000002,48360.49,556.0,Yi
213.85,44.91,500,11133.87,926.66,73.0,57.39125,47048.14,499.0,9.990000000000002,48987.7,577.0,Yi
213.85,48.4,500,10331.43,362.8,15.0,41.34,45741.63,499.0,9.990000000000002,47189.37,514.0,Yi
213.85,45.16,500,11070.76,379.39,29.0,57.39125,46064.6,499.0,9.990000000000002,47467.33,528.0,Yi
213.85,45.57,500,10972.37,265.5,13.0,48.96,45709.27,499.0,9.990000000000002,47018.57,512.0,Yi
213.85,47.96,500,10424.7,275.91,24.0,57.39125,45903.62,499.0,9.990000000000002,47256.2,523.0,Yi
213.85,47.36,500,10558.32,420.99,30.0,57.39125,46003.18,499.0,9.990000000000002,47481.24,529.0,Yi
213.85,45.34,500,11028.52,332.66,28.0,57.39125,46010.92,499.0,9.990000000000002,47343.95,527.0,Yi
213.85,43.69,500,11444.79,2978.04,73.0,57.39125,50474.98,499.0,9.89,54454.05,741.0,Yi
213.85,43.13,500,11591.52,362.46,23.0,57.39125,45889.87,499.0,9.990000000000002,47231.02,522.0,Yi
213.85,46.05,500,10858.94,1154.03,73.0,57.39125,47449.17,499.0,9.990000000000002,49623.81,598.0,Yi
213.85,48.04,500,10407.34,308.81,14.0,45.34,45750.7,499.0,9.990000000000002,47150.92,513.0,Yi
213.85,47.02,500,10634.68,523.79,49.0,57.39125,46463.31,499.0,9.990000000000002,48044.8,548.0,Yi
213.85,46.25,500,10811.75,468.11,38.0,57.39125,46293.29,499.0,9.990000000000002,47779.15,537.0,Yi
213.85,41.61,500,12016.34,5105.07,73.0,57.39125,53938.14,499.0,9.25,60070.1,820.5,Yi
213.85,44.82,500,11155.49,321.07,14.0,43.6,45787.83,499.0,9.990000000000002,47096.71,513.0,Yi
213.85,45.43,500,11006.91,221.24,20.0,57.39125,45867.81,499.0,9.990000000000002,47126.67,519.0,Yi
213.85,47.32,500,10565.91,273.09,13.0,47.6,45816.97,499.0,9.990000000000002,47144.26,512.0,Yi
213.85,44.69,500,11187.43,714.59,59.0,57.39125,46660.28,499.0,9.990000000000002,48374.7,558.0,Yi
213.85,48.02,500,10412.33,255.68,12.0,46.93,45654.14,499.0,9.990000000000002,47002.92,511.0,Yi
213.85,44.97,500,11119.02,310.84,11.0,35.39,45781.13,499.0,9.990000000000002,47102.49,510.0,Yi
213.85,44.03,500,11355.12,256.55,10.0,38.98,45673.33,499.0,9.990000000000002,46924.43,509.0,Yi
213.85,43.62,500,11461.84,221.24,12.0,54.24,45679.23,499.0,9.990000000000002,46891.84,511.0,Yi
213.85,46.55,500,10741.14,304.37,32.0,57.39125,46180.63,499.0,9.990000000000002,47533.87,531.0,Yi
213.85,47.77,500,10467.7,318.94,25.0,57.39125,45976.86,499.0,9.990000000000002,47377.76,524.0,Yi
213.85,46.77,500,10690.84,359.98,15.0,41.67,45687.55,499.0,9.990000000000002,47101.71,514.0,Yi
213.85,49.46,500,10109.79,195.5,16.0,57.39125,45725.21,499.0,9.990000000000002,47031.14,515.0,Yi
213.85,44.33,500,11279.04,322.15,28.0,57.39125,46034.12,499.0,9.990000000000002,47347.66,527.0,Yi
213.85,44.82,500,11154.74,322.26,11.0,34.13,45755.81,499.0,9.990000000000002,47072.56,510.0,Yi
213.85,47.0,500,10639.2,558.94,43.0,57.39125,46313.57,499.0,9.990000000000002,47950.28,542.0,Yi
213.85,43.61,500,11466.31,682.94,54.0,57.39125,46541.56,499.0,9.990000000000002,48187.4,553.0,Yi
213.85,46.33,500,10793.08,163.67,8.0,48.88,45633.9,499.0,9.990000000000002,46859.55,507.0,Yi
213.85,49.18,500,10167.15,426.08,40.0,57.39125,46070.52,499.0,9.990000000000002,47587.62,539.0,Yi
213.85,46.13,500,10838.46,569.24,43.0,57.39125,46224.61,499.0,9.990000000000002,47838.34,542.0,Yi
213.85,47.55,500,10514.58,386.38,26.0,57.39125,45786.22,499.0,9.990000000000002,47263.94,525.0,Yi
213.85,47.02,500,10634.9,95.75,4.0,41.78,45349.41,499.0,9.990000000000002,46523.05,503.0,Yi
213.85,45.99,500,10872.4,365.15,29.0,57.39125,45895.82,499.0,9.990000000000002,47301.38,528.0,Yi
213.85,48.92,500,10221.6,267.28,21.0,57.39125,45736.21,499.0,9.990000000000002,47087.34,520.0,Yi
213.85,44.93,500,11128.67,207.7,6.0,28.89,45588.74,499.0,9.990000000000002,46802.85,505.0,Yi
213.85,44.59,500,11214.28,159.92,16.0,57.39125,45762.68,499.0,9.990000000000002,46915.55,515.0,Yi
213.85,48.89,500,10226.62,222.89,20.0,57.39125,45801.9,499.0,9.990000000000002,47108.15,519.0,Yi
213.85,45.2,500,11062.44,1736.35,73.0,57.39125,48284.18,499.0,9.990000000000002,51033.23,642.0,Yi
213.85,45.51,500,10987.8,333.31,25.0,57.39125,45956.55,499.0,9.990000000000002,47329.86,524.0,Yi
213.85,46.15,500,10834.47,321.7,28.0,57.39125,46016.22,499.0,9.990000000000002,47381.09,527.0,Yi
213.85,47.15,500,10605.35,165.76,8.0,48.26,45524.83,499.0,9.990000000000002,46755.39,507.0,Yi
213.85,44.47,500,11243.53,258.39,10.0,38.7,45570.45,499.0,9.990000000000002,46856.95,509.0,Yi
213.85,43.81,500,11413.96,227.31,17.0,57.39125,45800.01,499.0,9.990000000000002,47003.55,516.0,Yi
213.85,43.38,500,11525.78,273.46,13.0,47.54,45690.8,499.0,9.990000000000002,46933.12,512.0,Yi
213.85,44.1,500,11336.84,367.79,15.0,40.78,45698.92,499.0,9.990000000000002,47060.76,514.0,Yi
213.85,44.71,500,11182.43,167.67,16.0,57.39125,45668.35,499.0,9.990000000000002,46845.24,515.0,Yi
213.85,45.0,500,11111.11,250.64,7.0,27.93,45440.79,499.0,9.990000000000002,46731.1,506.0,Yi
213.85,45.39,500,11015.4,161.09,16.0,57.39125,45789.93,499.0,9.990000000000002,46974.98,515.0,Yi
213.85,48.18,500,10377.1,506.92,39.0,57.39125,46239.83,499.0,9.990000000000002,47823.03,538.0,Yi
213.85,44.32,500,11281.84,588.68,46.0,57.39125,46348.99,499.0,9.990000000000002,47943.61,545.0,Yi
213.85,49.3,500,10142.81,369.76,25.0,57.39125,45916.93,499.0,9.990000000000002,47379.31,524.0,Yi
213.85,45.11,500,11083.03,1636.51,73.0,57.39125,48138.17,499.0,9.990000000000002,50800.08,634.0,Yi
213.85,45.16,500,11071.99,369.88,23.0,57.39125,45852.72,499.0,9.990000000000002,47224.78,522.0,Yi
213.85,45.59,500,10966.84,295.6,7.0,23.68,45531.38,499.0,9.990000000000002,46836.38,506.0,Yi
213.85,47.23,500,10587.16,367.68,26.0,57.39125,46006.35,499.0,9.990000000000002,47446.23,525.0,Yi
213.85,45.04,500,11101.24,635.46,46.0,57.39125,46348.36,499.0,9.990000000000002,47996.3,545.0,Yi
213.85,46.34,500,10788.88,265.71,13.0,48.93,45645.03,499.0,9.990000000000002,46948.72,512.0,Yi
213.85,46.57,500,10736.76,169.21,16.0,57.39125,45821.35,499.0,9.990000000000002,47022.83,515.0,Yi
213.85,44.98,500,11115.56,513.6,39.0,57.39125,46273.22,499.0,9.990000000000002,47798.23,538.0,Yi
213.85,45.55,500,10976.71,315.8,19.0,57.39125,45864.09,499.0,9.990000000000002,47200.21,518.0,Yi
213.85,46.71,500,10704.58,221.35,12.0,54.21,45617.48,499.0,9.990000000000002,46903.49,511.0,Yi
